Date,SSIF Portfolio,SSIF Benchmark,Excess Return
2019-01-07 0:00,0.190522681,0.267576128,-0.077053447
2019-01-08 0:00,1.025186386,1.024206424,0.000979962
2019-01-09 0:00,1.914354152,1.57796483,0.336389322
2019-01-10 0:00,2.28957665,2.056171197,0.233405453
2019-01-11 0:00,2.179396337,2.265036421,-0.085640084
2019-01-14 0:00,1.461721318,2.031177723,-0.569456405
2019-01-15 0:00,1.834639284,2.818915008,-0.984275724
2019-01-16 0:00,2.092001176,3.160524267,-1.068523091
2019-01-17 0:00,2.624940767,4.150829784,-1.525889017
2019-01-18 0:00,3.498309449,5.040044967,-1.541735518
2019-01-21 0:00,3.782976585,5.371389907,-1.588413322
2019-01-22 0:00,2.906580137,4.346384805,-1.439804668
2019-01-23 0:00,3.00858073,4.558638344,-1.550057614
2019-01-24 0:00,3.43705949,4.761797411,-1.324737921
2019-01-25 0:00,3.945478538,5.106725947,-1.161247409
2019-01-28 0:00,3.591896232,4.613510299,-1.021614067
2019-01-29 0:00,3.509529369,4.778134153,-1.268604784
2019-01-30 0:00,4.613133009,5.540393085,-0.927260076
2019-01-31 0:00,4.452929587,5.93809092,-1.485161333
2019-02-01 0:00,4.406518612,5.741058541,-1.334539929
2019-02-04 0:00,4.972520566,6.577229354,-1.604708788
2019-02-05 0:00,5.653975882,7.170466414,-1.516490532
2019-02-06 0:00,5.891097226,7.292267033,-1.401169807
2019-02-07 0:00,6.057134821,7.082024829,-1.024890008
2019-02-08 0:00,6.117469721,7.042894317,-0.925424596
2019-02-11 0:00,6.571840363,7.122018366,-0.550178003
2019-02-12 0:00,7.050407782,7.925881843,-0.875474061
2019-02-13 0:00,6.984440954,7.990730045,-1.006289091
2019-02-14 0:00,7.721345499,8.493053488,-0.771707989
2019-02-15 0:00,8.033138891,9.384913841,-1.35177495
2019-02-18 0:00,7.811769714,9.160057235,-1.348287521
2019-02-19 0:00,8.766303288,9.629003313,-0.862700025
2019-02-20 0:00,8.794810914,9.518878885,-0.724067971
2019-02-21 0:00,8.767340303,9.249772556,-0.482432253
2019-02-22 0:00,9.154865784,9.769771582,-0.614905798
2019-02-25 0:00,8.978865231,9.916396984,-0.937531753
2019-02-26 0:00,9.319997313,10.0121525,-0.692155191
2019-02-27 0:00,8.788369045,9.707072042,-0.918702997
2019-02-28 0:00,8.432359744,9.545187435,-1.112827691
2019-03-01 0:00,9.121987892,10.57493525,-1.452947357
2019-03-04 0:00,9.908440135,10.66389279,-0.755452652
2019-03-05 0:00,10.69491529,10.83113768,-0.136222385
2019-03-06 0:00,10.82697101,10.78442426,0.042546748
2019-03-07 0:00,10.08612092,10.19921337,-0.113092449
2019-03-08 0:00,9.882066984,9.946005731,-0.063938747
2019-03-11 0:00,10.68039353,11.16581576,-0.485422227
2019-03-12 0:00,10.87003037,11.2467856,-0.376755235
2019-03-13 0:00,10.84210895,11.44243525,-0.600326306
2019-03-14 0:00,10.33537704,11.28504388,-0.949666839
2019-03-15 0:00,11.01964611,11.90766573,-0.88801962
2019-03-18 0:00,11.39200793,12.46719523,-1.075187296
2019-03-19 0:00,10.35541964,12.01354822,-1.658128586
2019-03-20 0:00,10.68784442,11.96576669,-1.277922272
2019-03-21 0:00,11.79178533,13.17719749,-1.385412165
2019-03-22 0:00,10.84591213,11.61436394,-0.768451807
2019-03-25 0:00,10.58280498,11.55338349,-0.97057851
2019-03-26 0:00,10.61127476,12.14712826,-1.535853502
2019-03-27 0:00,10.96860978,11.97744694,-1.008837163
2019-03-28 0:00,11.12911466,12.3299412,-1.200826538
2019-03-29 0:00,11.83607942,12.32593353,-0.489854107
2019-04-01 0:00,12.82511048,13.40867697,-0.583566484
2019-04-02 0:00,13.05494818,13.52267438,-0.467726207
2019-04-03 0:00,13.34775086,13.57621181,-0.228460949
2019-04-04 0:00,13.69099148,13.99219568,-0.301204206
